,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,8000,4443 S Drake Ave,860.0,2.0,4.0,"Chicago, IL 60632","['08/23/2018', '06/06/2003']",4.0,"['Listed for sale', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '860 Square Feet', 'Lot Size: 3724 sqft']",08/23/2018,3724.0,sqft,&lpar;Brighton Park&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1910', '44 days on Trulia', '3724 sqft lot size', '860 sqft', '$238/sqft', '330 views']",204900.0,"[['2003-06-06 00:00:00', 105000, 'Sold'], ['2018-08-23 00:00:00', 204900, 'Listed for sale']]",238.0,"['$204,900', '$105,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '860 Square Feet', 'Lot Size: 3,725 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/4443-s-drake-ave-chicago-il-60632--2104323727,330.0,1910.0,60632.0,41427,50027.0,91326,8000,"['1.5 km', '14.7 km', '0.2 km']",['16.4 km'],"['19 mins', '26 mins', '3 mins']",['48 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Orange Line'],[41.8122046],[-87.7124742]
1,8001,310 S Michigan Ave #2113,1461.0,3.0,3.0,"Chicago, IL 60604","['09/04/2018', '06/30/2016', '06/12/2016', '05/07/2016', '04/01/2016', '11/01/2015', '09/18/2015', '08/15/2015', '08/09/2015', '07/06/2015', '06/30/2015', '03/30/2015', '10/21/2014', '09/04/2014', '07/15/2014', '06/18/2014', '08/13/2010', '04/16/2010', '02/17/2010']",1.0,"['Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Price change', 'Price change', 'Listed for sale', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale']","['3 Bedrooms', '3 Bathrooms', 'Condo', '1,461 Square Feet']",10/05/2018,,,&lpar;The Loop&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 1924', '31 days on Trulia', '1,461 sqft', '$417/sqft', '110 views', '$781/monthly HOA']",609900.0,"[['2010-02-17 00:00:00', 824975, 'Listed for sale'], ['2010-04-16 00:00:00', 800000, 'Price change'], ['2010-08-13 00:00:00', 800000, 'Posting removed'], ['2014-06-18 00:00:00', 789000, 'Listed for sale'], ['2014-07-15 00:00:00', 749000, 'Price change'], ['2014-09-04 00:00:00', 699000, 'Price change'], ['2014-10-21 00:00:00', 699000, 'Posting removed'], ['2015-03-30 00:00:00', 699000, 'Listed for sale'], ['2015-06-30 00:00:00', 699000, 'Listed for sale'], ['2015-07-06 00:00:00', 699000, 'Posting removed'], ['2015-08-09 00:00:00', 699000, 'Listed for sale'], ['2015-08-15 00:00:00', 649000, 'Price change'], ['2015-09-18 00:00:00', 649000, 'Listed for sale'], ['2015-11-01 00:00:00', 599000, 'Price change'], ['2016-04-01 00:00:00', 549000, 'Price change'], ['2016-05-07 00:00:00', 549000, 'Pending'], ['2016-06-12 00:00:00', 549000, 'Posting removed'], ['2016-06-30 00:00:00', 549000, 'Sold'], ['2018-09-04 00:00:00', 619900, 'Listed for sale']]",417.0,"['$619,900', '$549,000', '$549,000', '$549,000', '$549,000', '$599,000', '$649,000', '$649,000', '$699,000', '$699,000', '$699,000', '$699,000', '$699,000', '$699,000', '$749,000', '$789,000', '$800,000', '$800,000', '$824,975']",['Condo'],10/01/2017,https://www.trulia.com/p/il/chicago/310-s-michigan-ave-2113-chicago-il-60604--2103774225,110.0,1924.0,60604.0,77238,104005.0,570,8001,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877837],[-87.6244481]
2,8002,330 S Michigan Ave #1906,1609.0,3.0,2.0,"Chicago, IL 60604",,7.0,,"['2 Bedrooms', '3 Bathrooms', 'Condo', '1,609 Square Feet']",09/25/2018,,,&lpar;The Loop&rpar;,"['Condo', '2 Beds', '3 Baths', 'Built in 1900', '57 days on Trulia', '1,609 sqft', '$373/sqft', '265 views', '$1,386/monthly HOA']",600000.0,,373.0,,,,https://www.trulia.com/p/il/chicago/330-s-michigan-ave-1906-chicago-il-60604--2103774418,265.0,1900.0,60604.0,77238,104005.0,570,8002,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['9 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877481],[-87.62443739999999]
3,8003,310 S Michigan Ave #1608,1666.0,2.0,3.0,"Chicago, IL 60604","['09/11/2018', '08/28/2018', '08/08/2018', '02/27/2008']",8.0,"['Price change', 'Posting removed', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Condo', '1,666 Square Feet']",09/16/2018,,,&lpar;The Loop&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 1924', '58 days on Trulia', '1,666 sqft', '$339/sqft', '132 views', '$633/monthly HOA']",565000.0,"[['2008-02-27 00:00:00', 484571, 'Sold'], ['2018-08-08 00:00:00', 575000, 'Listed for sale'], ['2018-08-28 00:00:00', 575000, 'Posting removed'], ['2018-09-11 00:00:00', 565000, 'Price change']]",339.0,"['$565,000', '$575,000', '$575,000', '$484,571']",['Condo'],10/01/2017,https://www.trulia.com/p/il/chicago/310-s-michigan-ave-1608-chicago-il-60604--2103774147,132.0,1924.0,60604.0,77238,104005.0,570,8003,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877837],[-87.6244481]
4,8004,310 S Michigan Ave #1009,1550.0,2.0,3.0,"Chicago, IL 60604",,5.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,550 Square Feet']",10/05/2018,,,&lpar;The Loop&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 1924', '65 days on Trulia', '1,550 sqft', '$345/sqft', '207 views', '$543/monthly HOA']",534000.0,,345.0,,,,https://www.trulia.com/p/il/chicago/310-s-michigan-ave-1009-chicago-il-60604--2103774069,207.0,1924.0,60604.0,77238,104005.0,570,8004,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877837],[-87.6244481]
5,8005,310 S Michigan Ave #2004,1200.0,2.0,2.0,"Chicago, IL 60604","['09/17/2018', '07/13/2018', '05/31/2016', '02/09/2016', '12/17/2015', '11/14/2015', '07/31/2015', '06/20/2015', '04/29/2015', '07/26/2010']",4.0,"['Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Condo', '1,200 Square Feet']",09/17/2018,,,&lpar;The Loop&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1924', '84 days on Trulia', '1,200 sqft', '$408/sqft', '103 views', '$1,119/monthly HOA']",489900.0,"[['2010-07-26 00:00:00', 500000, 'Sold'], ['2015-04-29 00:00:00', 469000, 'Listed for sale'], ['2015-06-20 00:00:00', 455000, 'Price change'], ['2015-07-31 00:00:00', 445000, 'Price change'], ['2015-11-14 00:00:00', 435000, 'Price change'], ['2015-12-17 00:00:00', 425000, 'Price change'], ['2016-02-09 00:00:00', 425000, 'Posting removed'], ['2016-05-31 00:00:00', 450000, 'Sold'], ['2018-07-13 00:00:00', 499900, 'Listed for sale'], ['2018-09-17 00:00:00', 489900, 'Price change']]",408.0,"['$489,900', '$499,900', '$450,000', '$425,000', '$425,000', '$435,000', '$445,000', '$455,000', '$469,000', '$500,000']",['Condo'],10/01/2017,https://www.trulia.com/p/il/chicago/310-s-michigan-ave-2004-chicago-il-60604--2103774198,103.0,1924.0,60604.0,77238,104005.0,570,8005,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877837],[-87.6244481]
6,8006,310 S Michigan Ave #703,1600.0,3.0,3.0,"Chicago, IL 60604",,7.0,,"['3 Bedrooms', '3 Bathrooms', 'Condo', '1,600 Square Feet']",09/28/2018,,,&lpar;The Loop&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 2008', '17 days on Trulia', '1,600 sqft', '$362/sqft', '560 views', '$1,083/monthly HOA']",579000.0,,362.0,,,,https://www.trulia.com/p/il/chicago/310-s-michigan-ave-703-chicago-il-60604--2103774258,560.0,2008.0,60604.0,77238,104005.0,570,8006,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877837],[-87.6244481]
7,8007,318 S Michigan Ave #400,2650.0,4.0,3.0,"Chicago, IL 60604",,1.0,,"['3 Bedrooms', '4 Bathrooms', 'Condo', '2,650 Square Feet']",09/24/2018,,,&lpar;The Loop&rpar;,"['Condo', '3 Beds', '4 Baths', 'Built in 1885', '11 days on Trulia', '2,650 sqft', '$604/sqft', '23 views', '$1,205/monthly HOA']",1600000.0,,604.0,,,,https://www.trulia.com/p/il/chicago/318-s-michigan-ave-400-chicago-il-60604--2180057567,23.0,1885.0,60604.0,77238,104005.0,570,8007,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['9 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.8773855],[-87.62443460000001]
8,8008,330 S Michigan Ave #2006,1626.0,3.0,2.0,"Chicago, IL 60604",,4.0,,"['2 Bedrooms', '3 Bathrooms', 'Condo', '1,626 Square Feet']",10/02/2018,,,&lpar;The Loop&rpar;,"['Condo', '2 Beds', '3 Baths', 'Built in 1911', '144 days on Trulia', '1,626 sqft', '$317/sqft', '255 views', '$1,420/monthly HOA']",515000.0,,317.0,,,,https://www.trulia.com/p/il/chicago/330-s-michigan-ave-2006-chicago-il-60604--2103774428,255.0,1911.0,60604.0,77238,104005.0,570,8008,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['9 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877481],[-87.62443739999999]
9,8009,310 S Michigan Ave #2600,4300.0,4.0,3.0,"Chicago, IL 60604","['09/21/2018', '05/29/2018', '09/13/2017', '06/30/2015', '04/17/2014', '02/05/2014', '12/10/2013', '11/18/2013', '06/17/2013', '05/15/2013', '09/03/2011', '10/29/2010', '08/14/2009']",4.0,"['Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold']","['3 Bedrooms', '4 Bathrooms', 'Condo', '4,300 Square Feet']",09/21/2018,,,&lpar;The Loop&rpar;,"['Condo', '3 Beds', '4 Baths', 'Built in 2018', '14 days on Trulia', '4,300 sqft', '$930/sqft', '1304 views', '$3,061/monthly HOA']",4000000.0,"[['2009-08-14 00:00:00', 699900, 'Sold'], ['2010-10-29 00:00:00', 4450000, 'Listed for sale'], ['2011-09-03 00:00:00', 4450000, 'Posting removed'], ['2013-05-15 00:00:00', 3290000, 'Listed for sale'], ['2013-06-17 00:00:00', 3690000, 'Price change'], ['2013-11-18 00:00:00', 3690000, 'Posting removed'], ['2013-12-10 00:00:00', 2599000, 'Listed for sale'], ['2014-02-05 00:00:00', 2400000, 'Price change'], ['2014-04-17 00:00:00', 2300000, 'Price change'], ['2015-06-30 00:00:00', 2300000, 'Posting removed'], ['2017-09-13 00:00:00', 4450000, 'Listed for sale'], ['2018-05-29 00:00:00', 4299000, 'Price change'], ['2018-09-21 00:00:00', 4000000, 'Price change']]",930.0,"['$4,000,000', '$4,299,000', '$4,450,000', '$2,300,000', '$2,300,000', '$2,400,000', '$2,599,000', '$3,690,000', '$3,690,000', '$3,290,000', '$4,450,000', '$4,450,000', '$699,900']",['Condo'],10/01/2017,https://www.trulia.com/p/il/chicago/310-s-michigan-ave-2600-chicago-il-60604--2103774240,1304.0,2018.0,60604.0,77238,104005.0,570,8009,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877837],[-87.6244481]
10,8010,310 S Michigan Ave #202,3100.0,3.0,3.0,"Chicago, IL 60604",,5.0,,"['3 Bedrooms', '3 Bathrooms', 'Condo', '3,100 Square Feet']",04/13/2018,,,&lpar;The Loop&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 1924', '215 days on Trulia', '3,100 sqft', '$740/sqft', '453 views', '$1,893/monthly HOA']",2295000.0,,740.0,,,,https://www.trulia.com/p/il/chicago/310-s-michigan-ave-202-chicago-il-60604--2103774209,453.0,1924.0,60604.0,77238,104005.0,570,8010,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877837],[-87.6244481]
11,8011,310 S Michigan Ave #1403,1600.0,3.0,3.0,"Chicago, IL 60604",,6.0,,"['3 Bedrooms', '3 Bathrooms', 'Condo', '1,600 Square Feet']",04/05/2018,,,&lpar;The Loop&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 1924', '616 days on Trulia', '1,600 sqft', '$624/sqft', '358 views', '$1,257/monthly HOA']",999000.0,,624.0,,['Condo'],10/01/2017,https://www.trulia.com/p/il/chicago/310-s-michigan-ave-1403-chicago-il-60604--2103774117,358.0,1924.0,60604.0,77238,104005.0,570,8011,"['0.3 km', '0.4 km', '0.4 km']",['1.0 km'],"['4 mins', '1 min', '5 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.877837],[-87.6244481]
12,8012,13339 S Avenue O,1024.0,2.0,4.0,"Chicago, IL 60633","['09/17/2018', '09/06/2018', '08/28/2018', '04/14/2017', '03/21/2017', '03/15/2017', '07/11/2016', '06/28/2016', '05/26/2016', '05/19/2016', '04/26/2016', '04/20/2016', '04/02/2016', '03/29/2016', '03/22/2016', '03/14/2016', '03/11/2016', '03/08/2016', '03/03/2016', '12/11/2015', '11/30/2015', '08/31/2015', '07/23/2015']",9.0,"['Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Price change', 'Sold', 'Sold', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Posting removed', 'Pending', 'Price change', 'Listed for sale']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,024 Square Feet', 'Lot Size: 3149 sqft']",10/05/2018,3149.0,sqft,&lpar;Hegewisch&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1913', '29 days on Trulia', '3149 sqft lot size', '1,024 sqft', '$97/sqft', '176 views']",99000.0,"[['2015-07-23 00:00:00', 73500, 'Listed for sale'], ['2015-08-31 00:00:00', 67000, 'Price change'], ['2015-11-30 00:00:00', 67000, 'Pending'], ['2015-12-11 00:00:00', 67000, 'Posting removed'], ['2016-03-03 00:00:00', 75300, 'Price change'], ['2016-03-08 00:00:00', 75300, 'Price change'], ['2016-03-11 00:00:00', 75300, 'Price change'], ['2016-03-14 00:00:00', 75300, 'Price change'], ['2016-03-22 00:00:00', 75300, 'Price change'], ['2016-03-29 00:00:00', 65300, 'Price change'], ['2016-04-02 00:00:00', 65300, 'Price change'], ['2016-04-20 00:00:00', 65300, 'Price change'], ['2016-04-26 00:00:00', 55300, 'Price change'], ['2016-05-19 00:00:00', 55300, 'Price change'], ['2016-05-26 00:00:00', 45300, 'Price change'], ['2016-06-28 00:00:00', 47324, 'Sold'], ['2016-07-11 00:00:00', 47500, 'Sold'], ['2017-03-15 00:00:00', 162000, 'Price change'], ['2017-03-21 00:00:00', 162000, 'Pending'], ['2017-04-14 00:00:00', 162000, 'Posting removed'], ['2018-08-28 00:00:00', 67500, 'Sold'], ['2018-09-06 00:00:00', 119000, 'Listed for sale'], ['2018-09-17 00:00:00', 109000, 'Price change']]",97.0,"['$109,000', '$119,000', '$67,500', '$162,000', '$162,000', '$162,000', '$47,500', '$47,324', '$45,300', '$55,300', '$55,300', '$65,300', '$65,300', '$65,300', '$75,300', '$75,300', '$75,300', '$75,300', '$75,300', '$67,000', '$67,000', '$67,000', '$73,500']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,024 Square Feet', 'Lot Size: 3,150 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/13339-s-avenue-o-chicago-il-60633--1036550,176.0,1913.0,60633.0,46089,55891.0,12927,8012,"['1.1 km', '31.1 km', '0.4 km']",['32.6 km'],"['14 mins', '41 mins', '6 mins']",['1 hour 0 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['South Shore Line'],[41.6525139],[-87.53977379999999]
13,8013,13205 S Mackinaw Ave,1811.0,2.0,4.0,"Chicago, IL 60633",,,,,,2946.0,sqft,&lpar;Hegewisch&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1970', '2,946 sqft lot size', '1,811 sqft']",147362.0,,,,,,https://www.trulia.com/p/il/chicago/13205-s-mackinaw-ave-chicago-il-60633--2104336788,,1970.0,60633.0,46089,55891.0,12927,8013,"['1.2 km', '31.1 km', '0.4 km']",['32.7 km'],"['15 mins', '41 mins', '6 mins']",['1 hour 1 min'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['South Shore Line'],[41.6552271],[-87.54227399999999]
14,8014,13033 S Burley Ave,1032.0,2.0,3.0,"Chicago, IL 60633","['08/28/2018', '08/14/2018', '03/10/2016', '02/25/2016', '02/12/2016', '01/06/2016', '07/09/2015', '06/26/2015', '06/22/2015', '05/15/2015', '05/06/2015', '07/21/2006']",2.0,"['Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Listed for sale', 'Sold', 'Posting removed', 'Sold', 'Pending', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,032 Square Feet', 'Lot Size: 4373 sqft']",08/28/2018,4373.0,sqft,&lpar;Hegewisch&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1963', '52 days on Trulia', '4373 sqft lot size', '1,032 sqft', '$172/sqft', '301 views']",177900.0,"[['2006-07-21 00:00:00', 170000, 'Sold'], ['2015-05-06 00:00:00', 80000, 'Listed for sale'], ['2015-05-15 00:00:00', 80000, 'Pending'], ['2015-06-22 00:00:00', 62000, 'Sold'], ['2015-06-26 00:00:00', 80000, 'Posting removed'], ['2015-07-09 00:00:00', 62000, 'Sold'], ['2016-01-06 00:00:00', 155000, 'Listed for sale'], ['2016-02-12 00:00:00', 155000, 'Pending'], ['2016-02-25 00:00:00', 155000, 'Posting removed'], ['2016-03-10 00:00:00', 150000, 'Sold'], ['2018-08-14 00:00:00', 179900, 'Listed for sale'], ['2018-08-28 00:00:00', 177900, 'Price change']]",172.0,"['$177,900', '$179,900', '$150,000', '$155,000', '$155,000', '$155,000', '$62,000', '$80,000', '$62,000', '$80,000', '$80,000', '$170,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,032 Square Feet', 'Lot Size: 4,375 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/13033-s-burley-ave-chicago-il-60633--1009032,301.0,1963.0,60633.0,46089,55891.0,12927,8014,"['1.6 km', '31.1 km', '0.4 km']",['33.2 km'],"['20 mins', '41 mins', '6 mins']",['1 hour 6 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['South Shore Line'],[41.65809530000001],[-87.5446683]
15,8015,13136 S Ave N,1950.0,3.0,3.0,"Chicago, IL 60633","['06/17/2008', '01/25/2008', '08/25/2007', '07/02/1997']",0.0,"['Sold', 'Posting removed', 'Listed for sale', 'Sold']","['3 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,950 Square Feet', 'Lot Size: 3720 sqft']",10/05/2018,3720.0,sqft,&lpar;Hegewisch&rpar;,"['Single-Family Home', '3 Beds', '3 Baths', 'Built in 1987', '60 days on Trulia', '3720 sqft lot size', '1,950 sqft', '$110/sqft', '171 views']",214900.0,"[['1997-07-02 00:00:00', 137000, 'Sold'], ['2007-08-25 00:00:00', 254900, 'Listed for sale'], ['2008-01-25 00:00:00', 254900, 'Posting removed'], ['2008-06-17 00:00:00', 232000, 'Sold']]",110.0,"['$232,000', '$254,900', '$254,900', '$137,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,318 Square Feet', 'Lot Size: 3,720 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/13136-s-ave-n-chicago-il-60633--2120929211,171.0,1987.0,60633.0,46089,55891.0,12927,8015,"['1.6 km', '31.1 km', '0.4 km']",['33.2 km'],"['20 mins', '41 mins', '6 mins']",['1 hour 6 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['South Shore Line'],[41.6561754],[-87.5387365]
16,8016,13024 S Burley Ave,1040.0,2.0,3.0,"Chicago, IL 60633",['08/07/2018'],9.0,['Listed for sale'],"['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,040 Square Feet', 'Lot Size: 4129 sqft']",08/07/2018,4129.0,sqft,&lpar;Hegewisch&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1965', '59 days on Trulia', '4129 sqft lot size', '1,040 sqft', '$135/sqft', '256 views']",139900.0,"[['2018-08-07 00:00:00', 139900, 'Listed for sale']]",135.0,"['$139,900']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,040 Square Feet', 'Lot Size: 4,130 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/13024-s-burley-ave-chicago-il-60633--2104335972,256.0,1965.0,60633.0,46089,55891.0,12927,8016,"['1.6 km', '31.1 km', '0.4 km']",['33.2 km'],"['20 mins', '41 mins', '6 mins']",['1 hour 6 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['South Shore Line'],[41.65831110000001],[-87.5447638]
17,8017,12801 S Saginaw Ave,2250.0,2.0,3.0,"Chicago, IL 60633","['08/28/2018', '07/10/2018']",7.0,"['Price change', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,250 Square Feet', 'Lot Size: 4965 sqft']",08/28/2018,4965.0,sqft,&lpar;Hegewisch&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1965', '87 days on Trulia', '4965 sqft lot size', '2,250 sqft', '$89/sqft', '315 views']",200500.0,"[['2018-07-10 00:00:00', 210000, 'Listed for sale'], ['2018-08-28 00:00:00', 200500, 'Price change']]",89.0,"['$200,500', '$210,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,080 Square Feet', 'Lot Size: 4,968 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/12801-s-saginaw-ave-chicago-il-60633--2104335283,315.0,1965.0,60633.0,46089,55891.0,12927,8017,"['0.4 km', '2.0 km', '22 m', '31.1 km', '0.4 km']",['33.9 km'],"['5 mins', '3 mins', '1 min', '37 mins', '6 mins']",['1 hour 1 min'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['Torrence', 'South Shore Line']",[41.6627257],[-87.5580169]
18,8018,13016 S Exchange Ave,915.0,1.0,2.0,"Chicago, IL 60633","['09/14/2018', '08/07/2018', '07/28/2018', '07/12/2018', '06/28/2018']",9.0,"['Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '915 Square Feet', 'Lot Size: 5410 sqft']",09/14/2018,5410.0,sqft,&lpar;Hegewisch&rpar;,"['Single-Family Home', '2 Beds', '1 Bath', 'Built in 1947', '99 days on Trulia', '5410 sqft lot size', '915 sqft', '$147/sqft', '194 views']",134500.0,"[['2018-06-28 00:00:00', 156500, 'Listed for sale'], ['2018-07-12 00:00:00', 152000, 'Price change'], ['2018-07-28 00:00:00', 148960, 'Price change'], ['2018-08-07 00:00:00', 139000, 'Price change'], ['2018-09-14 00:00:00', 134500, 'Price change']]",147.0,"['$134,500', '$139,000', '$148,960', '$152,000', '$156,500']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '915 Square Feet', 'Lot Size: 5,412 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/13016-s-exchange-ave-chicago-il-60633--2104335908,194.0,1947.0,60633.0,46089,55891.0,12927,8018,"['47 m', '2.0 km', '22 m', '31.1 km', '0.4 km']",['33.6 km'],"['1 min', '5 mins', '1 min', '41 mins', '6 mins']",['58 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['South Chicago', 'South Shore Line']",[41.6585982],[-87.5520339]
19,8019,13219 S Avenue O,864.0,1.0,3.0,"Chicago, IL 60633","['07/05/2018', '11/29/1995']",2.0,"['Listed for sale', 'Sold']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '864 Square Feet', 'Lot Size: 4935 sqft']",07/05/2018,4935.0,sqft,&lpar;Hegewisch&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1949', '92 days on Trulia', '4935 sqft lot size', '864 sqft', '$177/sqft', '146 views']",152900.0,"[['1995-11-29 00:00:00', 65000, 'Sold'], ['2018-07-05 00:00:00', 152900, 'Listed for sale']]",177.0,"['$152,900', '$65,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '864 Square Feet', 'Lot Size: 4,937 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/13219-s-avenue-o-chicago-il-60633--2104336882,146.0,1949.0,60633.0,46089,55891.0,12927,8019,"['1.4 km', '31.1 km', '0.4 km']",['32.9 km'],"['17 mins', '41 mins', '6 mins']",['1 hour 3 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['South Shore Line'],[41.6548835],[-87.5398103]
