,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,4400,155 N Harbor Dr #2504,1000.0,2.0,1.0,"Chicago, IL 60601","['09/10/2018', '09/05/2018', '09/16/2008']",1.0,"['Pending', 'Listed for sale', 'Sold']","['1 Bedroom', '2 Bathrooms', 'Condo', '1,000 Square Feet']",09/05/2018,,,&lpar;New Eastside&rpar;,"['Condo', '1 Bed', '2 Baths', 'Built in 1974', '31 days on Trulia', '1,000 sqft', '$470/sqft', '27 views', '$723/monthly HOA']",470000.0,"[['2008-09-16 00:00:00', 300000, 'Sold'], ['2018-09-05 00:00:00', 470000, 'Listed for sale'], ['2018-09-10 00:00:00', 470000, 'Pending']]",470.0,"['$470,000', '$470,000', '$300,000']","['Condo', 'Lot Size: 1.8 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/155-n-harbor-dr-2504-chicago-il-60601--2103756198,27.0,1974.0,60601.0,94715,133063.0,11110,4400,['1.3 km'],['1.3 km'],['17 mins'],['17 mins'],['WALKING'],[],[],[41.88494050000001],[-87.61501779999999]
1,4401,4346 N Pulaski Rd #303,1275.0,2.0,2.0,"Chicago, IL 60641",,6.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,275 Square Feet']",09/25/2018,,,&lpar;Old Irving Park&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2007', '26 days on Trulia', '1,275 sqft', '$191/sqft', '136 views', '$338/monthly HOA']",243000.0,,191.0,,,,https://www.trulia.com/p/il/chicago/4346-n-pulaski-rd-303-chicago-il-60641--2104464953,136.0,2007.0,60641.0,49559,62558.0,71663,4401,"['0.9 km', '12.0 km', '0.1 km']",['13.0 km'],"['12 mins', '23 mins', '1 min']",['35 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9605862],[-87.7278479]
2,4402,5346 W Pensacola Ave,1212.0,3.0,5.0,"Chicago, IL 60641",['09/07/2018'],8.0,['Listed for sale'],"['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,212 Square Feet', 'Lot Size: 3750 sqft']",09/27/2018,3750.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1922', '28 days on Trulia', '3750 sqft lot size', '1,212 sqft', '$301/sqft', '121 views']",365400.0,"[['2018-09-07 00:00:00', 375400, 'Listed for sale']]",301.0,"['$375,400']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,212 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5346-w-pensacola-ave-chicago-il-60641--1180555,121.0,1922.0,60641.0,49559,62558.0,71663,4402,"['1.2 km', '15.3 km', '0.1 km']",['16.6 km'],"['16 mins', '28 mins', '1 min']",['43 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9596707],[-87.7616853]
3,4403,3210 N Kilbourn Ave #3,1779.0,2.0,2.0,"Chicago, IL 60641",,4.0,,"['2 Bedrooms', '2 Bathrooms', 'Townhouse', '1,779 Square Feet']",09/28/2018,,,&lpar;Kilbourn Park&rpar;,"['Townhouse', '2 Beds', '2 Baths', 'Built in 2006', '24 days on Trulia', '1,779 sqft', '$148/sqft', '144 views', '$165/monthly HOA']",264000.0,,148.0,,,,https://www.trulia.com/p/il/chicago/3210-n-kilbourn-ave-3-chicago-il-60641--2173295065,144.0,2006.0,60641.0,49559,62558.0,71663,4403,"['1.0 km', '13.3 km', '1.3 km']",['15.6 km'],"['13 mins', '22 mins', '16 mins']",['51 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Milwaukee North'],[41.9392807],[-87.73953739999999]
4,4404,3214 N Keating Ave,1127.0,1.0,3.0,"Chicago, IL 60641","['09/21/2018', '02/14/2018', '03/14/2017', '11/17/2016', '08/17/2016', '02/29/2016', '02/24/2016', '10/27/2015']",4.0,"['Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,127 Square Feet', 'Lot Size: 7200 sqft']",10/01/2018,7200.0,sqft,&lpar;Kilbourn Park&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1919', '14 days on Trulia', '7200 sqft lot size', '1,127 sqft', '$284/sqft', '91 views']",320000.0,"[['2015-10-27 00:00:00', 395000, 'Listed for sale'], ['2016-02-24 00:00:00', 374250, 'Price change'], ['2016-02-29 00:00:00', 374250, 'Posting removed'], ['2016-08-17 00:00:00', 374250, 'Listed for sale'], ['2016-11-17 00:00:00', 374250, 'Posting removed'], ['2017-03-14 00:00:00', 374250, 'Listed for sale'], ['2018-02-14 00:00:00', 374250, 'Posting removed'], ['2018-09-21 00:00:00', 325000, 'Listed for sale']]",284.0,"['$325,000', '$374,250', '$374,250', '$374,250', '$374,250', '$374,250', '$374,250', '$395,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,127 Square Feet', 'Lot Size: 7,200 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/3214-n-keating-ave-chicago-il-60641--1145406,91.0,1919.0,60641.0,49559,62558.0,71663,4404,"['1.5 km', '13.3 km', '1.3 km']",['16.0 km'],"['18 mins', '22 mins', '16 mins']",['57 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Milwaukee North'],[41.9394192],[-87.7452606]
5,4405,4835 W Henderson St,2120.0,1.0,4.0,"Chicago, IL 60641","['08/28/2018', '08/23/2018', '08/11/2009', '06/05/2009', '02/03/2009', '01/16/2009', '12/15/2008', '10/26/2008', '09/23/2008', '08/31/2008']",3.0,"['Price change', 'Listed for sale', 'Posting removed', 'Sold', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale']","['4 Bedrooms', '1 Bathroom', 'Single-Family Home', '2,120 Square Feet', 'Lot Size: 3123 sqft']",08/28/2018,3123.0,sqft,&lpar;Cragin&rpar;,"['Single-Family Home', '4 Beds', '1 Bath', 'Built in 1968', '43 days on Trulia', '3123 sqft lot size', '2,120 sqft', '$120/sqft', '126 views']",255000.0,"[['2008-08-31 00:00:00', 259900, 'Listed for sale'], ['2008-09-23 00:00:00', 249900, 'Price change'], ['2008-10-26 00:00:00', 229900, 'Price change'], ['2008-12-15 00:00:00', 224900, 'Price change'], ['2009-01-16 00:00:00', 219900, 'Price change'], ['2009-02-03 00:00:00', 209000, 'Price change'], ['2009-06-05 00:00:00', 185900, 'Sold'], ['2009-08-11 00:00:00', 209000, 'Posting removed'], ['2018-08-23 00:00:00', 260000, 'Listed for sale'], ['2018-08-28 00:00:00', 255000, 'Price change']]",120.0,"['$255,000', '$260,000', '$209,000', '$185,900', '$209,000', '$219,900', '$224,900', '$229,900', '$249,900', '$259,900']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,080 Square Feet', 'Lot Size: 3,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/4835-w-henderson-st-chicago-il-60641--1129712,126.0,1968.0,60641.0,49559,62558.0,71663,4405,"['0.2 km', '2.1 km', '0.5 km', '13.5 km', '0.1 km']",['16.4 km'],"['4 mins', '7 mins', '6 mins', '26 mins', '1 min']",['46 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Cicero', 'Blue Line']",[41.9415026],[-87.7484073]
6,4406,5031 W Byron St,1327.0,2.0,4.0,"Chicago, IL 60641","['08/28/2018', '07/19/2006']",8.0,"['Listed for sale', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,327 Square Feet', 'Lot Size: 3075 sqft']",10/04/2018,3075.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1906', '38 days on Trulia', '3075 sqft lot size', '1,327 sqft', '$240/sqft', '335 views']",319000.0,"[['2006-07-19 00:00:00', 280000, 'Sold'], ['2018-08-28 00:00:00', 324500, 'Listed for sale']]",240.0,"['$324,500', '$280,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '898 Square Feet', 'Lot Size: 3,075 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5031-w-byron-st-chicago-il-60641--2104468503,335.0,1906.0,60641.0,49559,62558.0,71663,4406,"['1.9 km', '13.5 km', '0.1 km']",['15.5 km'],"['24 mins', '26 mins', '1 min']",['50 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9514565],[-87.753483]
7,4407,3916 N Tripp Ave,5000.0,5.0,5.0,"Chicago, IL 60641","['09/19/2018', '07/02/2018', '05/15/2018', '05/09/2018']",6.0,"['Listed for sale', 'Posting removed', 'Pending', 'Listed for sale']","['5 Bedrooms', '5 Bathrooms', 'Single-Family Home', '5,000 Square Feet', 'Lot Size: 8150 sqft']",09/24/2018,8150.0,sqft,&lpar;Old Irving Park&rpar;,"['Single-Family Home', '5 Beds', '5 Baths', 'Built in 1899', '16 days on Trulia', '8150 sqft lot size', '5,000 sqft', '$120/sqft', '139 views']",600000.0,"[['2018-05-09 00:00:00', 535000, 'Listed for sale'], ['2018-05-15 00:00:00', 535000, 'Pending'], ['2018-07-02 00:00:00', 535000, 'Posting removed'], ['2018-09-19 00:00:00', 600000, 'Listed for sale']]",120.0,"['$600,000', '$535,000', '$535,000', '$535,000']","['Lot/Land', 'Lot Size: 978 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/3916-n-tripp-ave-chicago-il-60641--1169211,139.0,1899.0,60641.0,49559,62558.0,71663,4407,"['0.5 km', '12.0 km', '0.1 km']",['12.5 km'],"['6 mins', '23 mins', '1 min']",['29 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9523319],[-87.73396059999999]
8,4408,4930 W Newport Ave,2427.0,2.0,3.0,"Chicago, IL 60641","['09/20/2018', '12/01/2008', '11/21/2006']",0.0,"['Posting removed', 'Sold', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,427 Square Feet', 'Lot Size: 4175 sqft']",09/20/2018,4175.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1951', '340 days on Trulia', '4175 sqft lot size', '2,427 sqft', '$113/sqft', '89 views']",273321.0,"[['2006-11-21 00:00:00', 450000, 'Sold'], ['2008-12-01 00:00:00', 305000, 'Sold'], ['2018-09-20 00:00:00', 353309, 'Posting removed']]",113.0,"['$353,309', '$305,000', '$450,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,427 Square Feet', 'Lot Size: 4,175 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/4930-w-newport-ave-chicago-il-60641--2104467660,89.0,1951.0,60641.0,49559,62558.0,71663,4408,"['0.4 km', '1.9 km', '0.5 km', '13.5 km', '0.1 km']",['16.4 km'],"['6 mins', '6 mins', '6 mins', '26 mins', '1 min']",['47 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Cicero', 'Blue Line']",[41.9433323],[-87.7507637]
9,4409,3104 N Long Ave,2600.0,4.0,3.0,"Chicago, IL 60641","['08/17/2018', '10/20/2015', '10/05/2015', '10/01/2015', '08/13/2015', '06/09/2015']",9.0,"['Listed for sale', 'Sold', 'Posting removed', 'Sold', 'Pending', 'Listed for sale']","['3 Bedrooms', '4 Bathrooms', 'Single-Family Home', '2,600 Square Feet', 'Lot Size: 3781 sqft']",08/21/2018,3781.0,sqft,&lpar;Cragin&rpar;,"['Single-Family Home', '3 Beds', '4 Baths', 'Built in 1923', '49 days on Trulia', '3781 sqft lot size', '2,600 sqft', '$154/sqft', '127 views']",399900.0,"[['2015-06-09 00:00:00', 179900, 'Listed for sale'], ['2015-08-13 00:00:00', 179900, 'Pending'], ['2015-10-01 00:00:00', 180000, 'Sold'], ['2015-10-05 00:00:00', 179900, 'Posting removed'], ['2015-10-20 00:00:00', 180000, 'Sold'], ['2018-08-17 00:00:00', 399900, 'Listed for sale']]",154.0,"['$399,900', '$180,000', '$179,900', '$180,000', '$179,900', '$179,900']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,445 Square Feet', 'Lot Size: 3,780 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/3104-n-long-ave-chicago-il-60641--926092,127.0,1923.0,60641.0,49559,62558.0,71663,4409,"['2.0 km', '1.9 km', '0.5 km', '13.5 km', '0.1 km']",['18.0 km'],"['26 mins', '6 mins', '6 mins', '26 mins', '1 min']",['1 hour 7 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Cicero', 'Blue Line']",[41.93702649999999],[-87.76158339999999]
10,4410,5436 W Cullom Ave,3540.0,3.0,5.0,"Chicago, IL 60641","['09/20/2018', '08/22/2018']",4.0,"['Price change', 'Listed for sale']","['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '3,540 Square Feet', 'Lot Size: 3750 sqft']",10/05/2018,3750.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1922', '44 days on Trulia', '3750 sqft lot size', '3,540 sqft', '$113/sqft', '243 views']",399900.0,"[['2018-08-22 00:00:00', 410000, 'Listed for sale'], ['2018-09-20 00:00:00', 399900, 'Price change']]",113.0,"['$399,900', '$410,000']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,331 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5436-w-cullom-ave-chicago-il-60641--2104472344,243.0,1922.0,60641.0,49559,62558.0,71663,4410,"['1.4 km', '15.3 km', '0.1 km']",['16.8 km'],"['18 mins', '28 mins', '1 min']",['45 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9587241],[-87.7637786]
11,4411,5349 W Wellington Ave,3750.0,2.0,3.0,"Chicago, IL 60641","['09/15/2018', '08/23/2018', '08/07/1996']",3.0,"['Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '3,750 Square Feet', 'Lot Size: 3750 sqft']",09/15/2018,3750.0,sqft,&lpar;Cragin&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1924', '43 days on Trulia', '3750 sqft lot size', '3,750 sqft', '$79/sqft', '265 views']",295000.0,"[['1996-08-07 00:00:00', 143000, 'Sold'], ['2018-08-23 00:00:00', 305000, 'Listed for sale'], ['2018-09-15 00:00:00', 295000, 'Price change']]",79.0,"['$295,000', '$305,000', '$143,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,087 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5349-w-wellington-ave-chicago-il-60641--2104471802,265.0,1924.0,60641.0,49559,62558.0,71663,4411,"['1.2 km', '3.0 km', '0.5 km', '13.5 km', '0.1 km']",['18.3 km'],"['15 mins', '10 mins', '6 mins', '26 mins', '1 min']",['1 hour 0 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Cicero', 'Blue Line']",[41.9349569],[-87.7609411]
12,4412,3018 N Kenneth Ave,2515.0,3.0,5.0,"Chicago, IL 60641",,0.0,,"['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,515 Square Feet', 'Lot Size: 3781 sqft']",09/25/2018,3781.0,sqft,&lpar;Belmont Gardens&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1924', '10 days on Trulia', '3781 sqft lot size', '2,515 sqft', '$107/sqft', '115 views']",268800.0,,107.0,,"['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,515 Square Feet', 'Lot Size: 3,780 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/3018-n-kenneth-ave-chicago-il-60641--2104455999,115.0,1924.0,60641.0,49559,62558.0,71663,4412,"['1.5 km', '13.3 km', '1.3 km']",['16.1 km'],"['19 mins', '22 mins', '16 mins']",['57 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Milwaukee North'],[41.9359257],[-87.7382082]
13,4413,4404 W George St,4200.0,4.0,8.0,"Chicago, IL 60641",,0.0,,"['8 Bedrooms', '4 Bathrooms', 'Multi-Family', '4,200 Square Feet', 'Lot Size: 3780 sqft']",08/16/2018,3780.0,sqft,&lpar;Belmont Gardens&rpar;,"['Multi-Family', '8 Beds', '4 Baths', 'Built in 1927', '50 days on Trulia', '3780 sqft lot size', '4,200 sqft', '$166/sqft', '147 views']",699000.0,,166.0,,,,https://www.trulia.com/p/il/chicago/4404-w-george-st-chicago-il-60641--1013400095,147.0,1927.0,60641.0,49559,62558.0,71663,4413,"['0.2 km', '2.5 km', '7 m', '8.6 km', '0.1 km']",['11.5 km'],"['3 mins', '13 mins', '1 min', '17 mins', '1 min']",['38 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Diversey', 'Blue Line']",[41.9335214],[-87.7371654]
14,4414,5405 W Henderson St,2102.0,2.0,3.0,"Chicago, IL 60641","['09/11/2018', '08/14/2018']",2.0,"['Price change', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,102 Square Feet', 'Lot Size: 4125 sqft']",09/28/2018,4125.0,sqft,&lpar;Cragin&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1923', '52 days on Trulia', '4125 sqft lot size', '2,102 sqft', '$126/sqft', '573 views']",265000.0,"[['2018-08-14 00:00:00', 275000, 'Listed for sale'], ['2018-09-11 00:00:00', 269999, 'Price change']]",126.0,"['$269,999', '$275,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,202 Square Feet', 'Lot Size: 4,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5405-w-henderson-st-chicago-il-60641--2104471993,573.0,1923.0,60641.0,49559,62558.0,71663,4414,"['1.6 km', '1.9 km', '0.5 km', '13.5 km', '0.1 km']",['17.6 km'],"['20 mins', '6 mins', '6 mins', '26 mins', '1 min']",['1 hour 1 min'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Cicero', 'Blue Line']",[41.9413282],[-87.7620189]
15,4415,3422 N Kolmar Ave,2500.0,2.0,4.0,"Chicago, IL 60641","['09/07/2018', '08/18/2018', '11/23/2016', '09/28/2016', '01/19/2006']",8.0,"['Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,500 Square Feet']",10/03/2018,,,&lpar;Kilbourn Park&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1927', '48 days on Trulia', '2,500 sqft', '$152/sqft', '66 views']",379898.0,"[['2006-01-19 00:00:00', 305000, 'Sold'], ['2016-09-28 00:00:00', 374900, 'Listed for sale'], ['2016-11-23 00:00:00', 374900, 'Posting removed'], ['2018-08-18 00:00:00', 389900, 'Listed for sale'], ['2018-09-07 00:00:00', 379900, 'Price change']]",152.0,"['$379,900', '$389,900', '$374,900', '$374,900', '$305,000']","['2 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,153 Square Feet', 'Lot Size: 3,150 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/3422-n-kolmar-ave-chicago-il-60641--1254218,66.0,1927.0,60641.0,49559,62558.0,71663,4415,"['0.7 km', '13.3 km', '1.3 km']",['15.2 km'],"['9 mins', '22 mins', '16 mins']",['47 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Milwaukee North'],[41.9433129],[-87.7408849]
16,4416,5336 W Wolfram St,1356.0,3.0,7.0,"Chicago, IL 60641",['09/11/2018'],4.0,['Listed for sale'],"['7 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,356 Square Feet']",09/11/2018,,,&lpar;Cragin&rpar;,"['Single-Family Home', '7 Beds', '3 Baths', 'Built in 1926', '24 days on Trulia', '1,356 sqft', '$218/sqft', '138 views']",295000.0,"[['2018-09-11 00:00:00', 295000, 'Listed for sale']]",218.0,"['$295,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,356 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5336-w-wolfram-st-chicago-il-60641--2104471566,138.0,1926.0,60641.0,49559,62558.0,71663,4416,"['0.2 km', '4.4 km', '7 m', '8.6 km', '0.1 km']",['13.3 km'],"['3 mins', '20 mins', '1 min', '17 mins', '1 min']",['45 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Diversey', 'Blue Line']",[41.9322899],[-87.7603561]
17,4417,5308 W George St,1338.0,3.0,3.0,"Chicago, IL 60641",,3.0,,"['3 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,338 Square Feet', 'Lot Size: 3750 sqft']",09/05/2018,3750.0,sqft,&lpar;Cragin&rpar;,"['Single-Family Home', '3 Beds', '3 Baths', 'Built in 1926', '53 days on Trulia', '3750 sqft lot size', '1,338 sqft', '$229/sqft', '453 views']",307000.0,,229.0,,"['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,338 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5308-w-george-st-chicago-il-60641--2104471042,453.0,1926.0,60641.0,49559,62558.0,71663,4417,"['0.2 km', '4.4 km', '7 m', '8.6 km', '0.1 km']",['13.3 km'],"['3 mins', '20 mins', '1 min', '17 mins', '1 min']",['45 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Diversey', 'Blue Line']",[41.9332158],[-87.75939609999999]
18,4418,5540 W Berenice Ave,3700.0,4.0,5.0,"Chicago, IL 60641","['08/08/2018', '02/24/2017', '02/24/2017', '02/01/2017', '01/25/2017']",8.0,"['Listed for sale', 'Posting removed', 'Sold', 'Pending', 'Listed for sale']","['5 Bedrooms', '4 Bathrooms', 'Single-Family Home', '3,700 Square Feet', 'Lot Size: 3690 sqft']",08/13/2018,3690.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '5 Beds', '4 Baths', 'Built in 1924', '58 days on Trulia', '3690 sqft lot size', '3,700 sqft', '$162/sqft', '513 views']",599900.0,"[['2017-01-25 00:00:00', 235000, 'Listed for sale'], ['2017-02-01 00:00:00', 235000, 'Pending'], ['2017-02-24 00:00:00', 235000, 'Posting removed'], ['2017-02-24 00:00:00', 241000, 'Sold'], ['2018-08-08 00:00:00', 599900, 'Listed for sale']]",162.0,"['$599,900', '$235,000', '$241,000', '$235,000', '$235,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,144 Square Feet', 'Lot Size: 3,690 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5540-w-berenice-ave-chicago-il-60641--2104473068,513.0,1924.0,60641.0,49559,62558.0,71663,4418,"['0.2 km', '2.6 km', '65 m', '15.3 km', '0.1 km']",['18.2 km'],"['2 mins', '10 mins', '1 min', '28 mins', '1 min']",['49 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Central', 'Blue Line']",[41.9504742],[-87.7661438]
19,4419,5144 W Montrose Ave,2850.0,3.0,5.0,"Chicago, IL 60641",,,,"['5 Bedrooms', '3 Bathrooms', 'Multi-Family', '2,850 Square Feet', 'Lot Size: 6534 sqft']",10/05/2018,6534.0,sqft,&lpar;Irving Woods&rpar;,"['Multi-Family', '5 Beds', '3 Baths', 'Built in 1930', '<1 day on Trulia', '6534 sqft lot size', '2,850 sqft', '$146/sqft', '80 views']",415000.0,,146.0,,,,https://www.trulia.com/p/il/chicago/5144-w-montrose-ave-chicago-il-60641--2104469639,80.0,1930.0,60641.0,49559,62558.0,71663,4419,"['1.1 km', '13.5 km', '0.1 km']",['14.7 km'],"['14 mins', '26 mins', '1 min']",['40 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.960652],[-87.75632159999999]
20,4420,4828 W Warner Ave,2100.0,2.0,3.0,"Chicago, IL 60641","['08/23/2018', '08/08/2018']",8.0,"['Pending', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,100 Square Feet', 'Lot Size: 4408 sqft']",10/01/2018,4408.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1901', '58 days on Trulia', '4408 sqft lot size', '2,100 sqft', '$142/sqft', '242 views']",299000.0,"[['2018-08-08 00:00:00', 310000, 'Listed for sale'], ['2018-08-23 00:00:00', 310000, 'Pending']]",142.0,"['$310,000', '$310,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,794 Square Feet', 'Lot Size: 4,410 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/4828-w-warner-ave-chicago-il-60641--2104466532,242.0,1901.0,60641.0,49559,62558.0,71663,4420,"['1.0 km', '13.5 km', '0.1 km']",['14.6 km'],"['13 mins', '26 mins', '1 min']",['38 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.956176],[-87.74866879999999]
21,4421,5107 W Eddy St,1592.0,2.0,5.0,"Chicago, IL 60641","['02/23/2016', '01/14/2015', '11/26/2014', '11/24/2014', '11/15/2014', '01/31/2001']",,"['Posting removed', 'Listed for sale', 'Posting removed', 'Pending', 'Listed for sale', 'Sold']","['5 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,592 Square Feet', 'Lot Size: 3824 sqft']",10/04/2018,3824.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '5 Beds', '2 Baths', 'Built in 1916', '1 day on Trulia', '3824 sqft lot size', '1,592 sqft', '$138/sqft', '3 views']",220000.0,"[['2001-01-31 00:00:00', 232000, 'Sold'], ['2014-11-15 00:00:00', 200000, 'Listed for sale'], ['2014-11-24 00:00:00', 200000, 'Pending'], ['2014-11-26 00:00:00', 200000, 'Posting removed'], ['2015-01-14 00:00:00', 200000, 'Listed for sale'], ['2016-02-23 00:00:00', 200000, 'Posting removed']]",138.0,"['$200,000', '$200,000', '$200,000', '$200,000', '$200,000', '$232,000']","['5 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,592 Square Feet', 'Lot Size: 3,825 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5107-w-eddy-st-chicago-il-60641--1077946940,3.0,1916.0,60641.0,49559,62558.0,71663,4421,"['1.6 km', '13.3 km', '1.3 km']",['16.2 km'],"['20 mins', '22 mins', '16 mins']",['58 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Milwaukee North'],[41.9451301],[-87.7548278]
